violDate,tag,location,city,state
2014-01-04 01:07:00,8AS5334,JFA LOT,Baltimore,MD
2014-12-02 17:24:00,2BL6983,200 UNIVERSITY PKWY,Baltimore,MD
2014-02-04 12:50:00,4BG9269,1200 LIGHT ST,Baltimore,MD
2014-05-23 11:13:00,0761L5,716 MCCABE AVE,Baltimore,MD
2014-09-04 09:40:00,2BC0226,U/B CHASE ST,Baltimore,MD
2014-05-19 10:51:00,05872M0,100 WATER ST,Baltimore,MD
2014-01-06 09:01:00,2ABT77,U/B RANDALL ST,Baltimore,MD
2014-06-18 16:09:00,5AZ8905,1800 MONUMENT ST,Baltimore,MD
2014-08-13 08:41:00,ARW233,3900 PRATT ST,Baltimore,MD
2014-03-05 00:50:00,KU0044,1400 BATTERY AVE,Baltimore,MD
2014-06-14 18:16:00,79128BY,1200 CHARLES ST,Baltimore,MD
2014-06-18 10:25:00,04255Z,5900 LEITH WALK,Baltimore,MD
2014-02-04 09:36:00,5AZ6235,300 REDWOOD ST,Baltimore,MD
2014-09-18 09:20:00,9DYR19,400 LINWOOD AVE,Baltimore,MD
2014-07-23 11:18:00,8BK0947,100 FRANKLIN ST,Baltimore,MD
2014-08-08 08:51:00,8AP7906,500 FAYETTE ST,Baltimore,MD
2014-09-02 16:08:00,JMD5156,100 28TH ST,Baltimore,MD
2014-12-16 08:24:00,5AP3096,400 LINWOOD AVE,Baltimore,MD
2014-12-01 11:21:00,WLP3750,E/S 3900 BEECH AV,Baltimore,MD
2014-09-09 14:02:00,5FXS20,3900 EASTERN AVE,Baltimore,MD
2014-11-24 07:28:00,1AS7575,3100 KESWICK RD,Baltimore,MD
2014-05-10 13:26:00,9DWZ30,4400 PARK HGTS AVE,Baltimore,MD
2014-04-15 10:03:00,019314TT,700 PRATT ST,Baltimore,MD
2014-06-23 08:08:00,P212495,1800 BARCLAY ST,Baltimore,MD
2014-06-06 09:47:00,58314M2,4700 ELISON AVE,Baltimore,MD
2014-10-26 12:57:00,82253CC,900 CATHEDRAL ST,Baltimore,MD
2014-02-05 21:56:00,8BG2210,200 UNIVERSITY PKWY,Baltimore,MD
2014-07-30 10:47:00,4BD3380,100 GAY ST,Baltimore,MD
2014-11-28 21:05:00,9BC0398,700 GRANTLEY ST,Baltimore,MD
2014-07-17 08:33:00,6AD7322,U/B 39TH ST,Baltimore,MD
2014-05-03 02:43:00,8DXF07,900 FRANKLINTOWN RD,Baltimore,MD
2014-04-08 23:11:00,CIB0521,U/B LINWOOD AVE,Baltimore,MD
2014-12-24 09:19:00,997BEC,1400 PARK AVE,Baltimore,MD
2014-06-26 11:32:00,8BD4060,U/B MT VERNON PL,Baltimore,MD
2014-08-15 15:11:00,1AK6283,300 CHARLES ST,Baltimore,MD
2014-09-30 11:36:00,3BE1001,2000 MCELDERRY ST,Baltimore,MD
2014-10-24 13:50:00,4DKW47,1900 JEFFERSON ST,Baltimore,MD
2014-11-01 14:56:00,2MD3662,200 KEY HWY,Baltimore,MD
2014-05-01 01:11:00,JZY7946,1900 LIGHT ST,Baltimore,MD
2014-07-06 10:19:00,6AJF44,1500 THAMES ST,Baltimore,MD
2014-04-22 09:04:00,3AW8856,5000 SUNSET RD,Baltimore,MD
2014-08-26 17:38:00,864BGD,1700 THAMES ST,Baltimore,MD
2014-03-22 00:11:00,6FPF98,3200 LOT WAVERLY,Baltimore,MD
2014-04-30 02:13:00,7BG2059,1900 MCELDERRY ST,Baltimore,MD
2014-07-10 03:59:00,774F41,5800 RADECKE AVE,Baltimore,MD
2014-04-04 21:54:00,1AT0881,400 HIGH ST,Baltimore,MD
2014-12-10 07:13:00,4BL9744,3100 FAYETTE ST,Baltimore,MD
2014-02-12 07:51:00,5BA7200,1100 SCOTT ST,Baltimore,MD
2014-08-13 18:34:00,A260409,1100 CALVERT ST,Baltimore,MD
2014-11-24 08:30:00,A98327 T,500 MONTFORD AVE,Baltimore,MD
2014-12-31 10:47:00,1BR9233,400 BROADWAY,Baltimore,MD
2014-09-09 20:36:00,ANTIPSN,1600 BOLTON ST,Baltimore,MD
2014-08-04 13:15:00,6AF6216,1000 LIGHT ST,Baltimore,MD
2014-03-06 16:08:00,KZK829,4500 CHARLES ST,Baltimore,MD
2014-05-23 09:05:00,1BM0071,400 BROADWAY,Baltimore,MD
2014-05-21 11:29:00,6BL0215,100 EUTAW ST,Baltimore,MD
2014-02-09 14:48:00,653M964,2000 GOUGH ST,Baltimore,MD
2014-10-23 11:56:00,A211698,1200 MARYLAND AVE,Baltimore,MD
2014-10-04 08:56:00,9AC0913,3000 ELLIOTT ST,Baltimore,MD
2014-02-14 12:05:00,CC11620,E/S E 22ND ST,Baltimore,MD
2014-04-03 03:23:00,8AW1920,U/B LUZERNE AVE,Baltimore,MD
2014-09-05 14:36:00,2FSD10,600 BROADWAY,Baltimore,MD
2014-06-27 12:03:00,JFA2969,2100 MCHENRY ST,Baltimore,MD
2014-05-09 16:17:00,7AD7820,500 SARATOGA ST,Baltimore,MD
2014-06-26 17:37:00,K611571,700 DEEPDENE RD,Baltimore,MD
2014-12-08 10:12:00,RTL0287,2300 EUTAW PL,Baltimore,MD
2014-12-10 10:50:00,8BG2735,1400 ORLEANS ST,Baltimore,MD
2014-07-29 19:23:00,2EHY39,1000 CHARLES ST,Baltimore,MD
2014-10-29 08:58:00,8AY3773,1100 CALVERT ST,Baltimore,MD
2014-03-01 13:20:00,AEF27K,800 37TH ST,Baltimore,MD
2014-09-06 09:43:00,5BP5421,1000 ST PAUL ST,Baltimore,MD
2014-05-03 17:03:00,W858FH,500 FAYETTE ST,Baltimore,MD
2014-08-20 17:48:00,7AR7746,3800 EASTERN AVE,Baltimore,MD
2014-11-20 09:10:00,5BN7039,3900 MT PLEASANT,Baltimore,MD
2014-09-24 16:41:00,78V079,100 FAYETTE ST,Baltimore,MD
2014-12-31 09:10:00,VBK8774,U/B COMMERCE ST,Baltimore,MD
2014-02-03 21:31:00,7AX3421,100 MONUMENT ST,Baltimore,MD
2014-02-24 21:39:00,RAV5820,U/B MARKET PL,Baltimore,MD
2014-12-02 15:12:00,3AK8767,300 LOVEGROVE ST,Baltimore,MD
2014-07-29 19:35:00,40737M9,U/B READ ST,Baltimore,MD
2014-03-18 20:36:00,8ETL75,U/B CROSS ST,Baltimore,MD
2014-08-04 16:53:00,8AB7386,3400 CALVERT ST,Baltimore,MD
2014-07-21 07:26:00,1AJ9613,3400 KENYON AVE,Baltimore,MD
2014-04-05 17:57:00,17059CF,900 ALICEANNA ST,Baltimore,MD
2014-01-08 11:36:00,9BE2855,1800 MCCULLOH ST,Baltimore,MD
2014-05-29 12:08:00,4BG2002,300 ALLENDALE ST,Baltimore,MD
